program,July1st,July2nd,July3rd,July4th,July5th,July6th,July7th,July8th,July9th,July10th,July11th,July12th,July13th,July14th,July15th,July16th,July17th,July18th,July19th,July20th,July21st,July22nd,July23th,July24th,July25th,July26th,July27th,July28th,July29th,July30th,July31st
Actuarial Science (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actuarial Science (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (PG),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (UG),2,1,5,2,2,2,1,2,0,1,1,1,1,3,0,2,3,1,1,2,1,0,3,1,1,1,0,1,0,3,2
Business (PG),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business (UG),0,2,0,1,4,2,0,0,1,0,1,1,0,0,0,0,0,3,2,3,0,0,1,0,0,0,2,0,0,2,0
Engineering (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Engineering (UG),1,1,3,1,2,0,1,0,2,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2
FMHS (PG),1,0,1,0,1,2,3,1,0,0,0,2,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0
FMHS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG) - Nursing,0,1,3,4,2,1,3,0,4,0,0,0,0,4,3,1,1,1,1,1,0,2,1,2,0,1,1,2,1,0,0
FOSSLA (PG),0,1,1,0,0,0,0,0,1,0,0,1,0,2,0,0,3,0,2,0,0,0,1,0,0,0,1,0,2,0,1
FOSSLA (UG),7,13,9,6,8,13,8,7,7,13,3,6,7,7,1,8,5,5,12,11,28,16,11,12,11,6,0,13,5,3,4
Foundation in Arts,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Foundation in Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPS (UG),4,4,7,2,4,2,3,0,8,0,1,2,1,1,1,2,1,3,3,3,1,2,1,3,2,1,1,0,0,0,1
GBS (PG),3,2,4,0,1,3,8,6,4,5,2,3,3,11,8,5,3,3,6,7,10,6,2,2,3,4,8,5,1,2,8
Hospitality (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospitality (UG),1,1,3,7,0,2,2,1,1,0,2,0,0,1,0,1,1,0,2,2,0,2,1,0,0,1,1,0,2,1,2
IASDA (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IASDA (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEC-General Scholarship,6,7,1,3,5,1,3,3,4,0,3,1,1,0,2,2,3,4,3,2,2,2,1,1,1,3,2,1,1,2,4
SEC-Foundation,7,6,6,7,7,2,4,5,3,1,3,2,3,1,4,4,2,6,3,8,7,12,13,11,6,4,4,6,7,3,2
SEC-Diploma & Foundation,14,10,12,7,11,11,6,8,11,6,8,7,5,5,13,7,6,4,6,1,1,7,10,6,8,7,6,4,5,4,2
SEC-MARA Scholarship,6,11,9,7,5,2,4,7,3,6,6,5,5,1,6,2,5,6,4,4,4,2,4,1,2,5,2,4,3,2,1
SEC-UEC,3,6,7,2,4,3,3,1,0,2,6,5,7,6,3,4,2,5,7,4,5,3,3,2,5,1,0,1,3,3,0
SEC-Open Day/Enrolment Day/Info Day,0,0,6,5,2,3,0,2,2,1,1,1,0,3,3,4,2,3,3,1,4,4,4,2,2,1,2,3,1,0,0
