program,April1st,April2nd,April3rd,April4th,April5th,April6th,April7th,April8th,April9th,April10th,April11th,April12th,April13th,April14th,April15th,April16th,April17th,April18th,April19th,April20th,April21st,April22nd,April23th,April24th,April25th,April26th,April27th,April28th,April29th,April30th
Actuarial Science (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actuarial Science (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Architecture (UG),1,0,0,0,0,1,1,0,0,1,0,0,0,0,4,1,0,2,2,1,1,1,1,1,1,0,2,3,4,0
Business (PG),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business (UG),0,5,0,2,2,2,0,0,1,0,0,1,3,0,0,2,0,1,3,1,0,0,4,0,0,1,0,0,0,2
Engineering (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engineering (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG) - Nursing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOSSLA (PG),1,1,1,0,1,1,1,1,1,0,0,0,2,1,1,1,0,2,0,2,1,1,0,1,1,2,0,0,0,0
FOSSLA (UG),6,5,5,4,4,1,3,6,1,1,0,2,7,4,8,3,6,4,8,1,1,1,5,10,3,6,5,2,2,3
Foundation in Arts,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
Foundation in Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FPS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBS (PG),1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,3,7,2,1,2,4,1,2,1,3,4
Hospitality (PG),0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospitality (UG),2,1,1,0,1,0,0,1,0,2,0,0,0,2,2,3,3,2,0,3,2,0,0,1,3,1,0,2,1,1
IASDA (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IASDA (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
IMUS (UG),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEC-General Scholarship,2,4,0,0,1,0,3,1,0,1,0,5,1,2,2,2,1,2,4,1,2,1,3,4,3,2,0,2,1,4
SEC-Foundation,8,6,5,2,3,4,5,4,2,1,5,1,3,4,4,8,6,3,6,11,7,12,10,7,5,4,10,3,5,10
SEC-Diploma & Foundation,10,6,6,8,6,4,8,2,2,3,1,10,6,13,7,2,9,4,5,4,1,6,10,9,9,8,4,4,4,5
SEC-MARA Scholarship,8,1,1,2,1,2,2,2,0,0,0,2,1,1,5,7,2,4,2,5,3,4,7,5,1,2,0,1,3,3
SEC-UEC,3,4,2,1,0,3,3,2,1,0,1,2,0,2,3,9,5,8,11,4,7,6,6,1,4,4,1,2,4,6
SEC-Open Day/Enrolment Day/Info Day,0,0,6,2,0,1,0,2,0,0,3,1,1,1,1,1,2,1,1,2,2,1,0,1,0,0,0,0,1,2
