program,January1st,January2nd,January3rd,January4th,January5th,January6th,January7th,January8th,January9th,January10th,January11th,January12th,January13th,January14th,January15th,January16th,January17th,January18th,January19th,January20th,January21st,January22nd,January23th,January24th,January25th,January26th,January27th,January28th,January29th,January30th,January31st
Actuarial Science (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actuarial Science (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Architecture (UG),0,0,0,0,1,4,2,1,2,5,6,2,2,1,2,6,0,1,1,4,3,1,0,3,2,3,0,2,1,1,1
Business (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0
Business (UG),1,4,1,4,5,6,0,3,2,2,3,2,2,2,2,7,0,3,2,6,3,1,8,1,2,3,4,3,4,1,0
Engineering (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Engineering (UG),0,0,0,1,1,2,0,0,0,2,0,0,0,2,0,4,1,1,0,0,3,2,3,4,0,1,0,0,2,1,1
FMHS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG) - Nursing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOSSLA (PG),0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,4,2,1
FOSSLA (UG),17,26,11,0,0,5,18,13,19,16,14,19,19,17,23,7,1,0,4,4,7,8,6,2,3,5,6,20,15,2,0
Foundation in Arts,0,0,0,0,0,2,2,0,0,1,1,0,0,1,1,1,0,0,0,1,2,1,0,0,0,2,2,1,1,1,0
Foundation in Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBS (PG),3,6,9,14,5,4,3,3,4,7,2,3,2,2,1,1,1,5,5,1,2,2,4,4,2,3,0,1,3,1,2
Hospitality (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Hospitality (UG),0,0,0,0,3,2,2,1,1,3,1,1,2,1,1,0,2,2,4,1,0,2,1,0,1,5,2,3,1,1,2
IASDA (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IASDA (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (PG),0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0
IMUS (UG),0,0,0,0,2,1,2,1,1,0,0,0,4,1,0,1,0,0,0,2,0,1,1,1,1,0,2,1,1,1,1
IT (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Master & PhD Programme,0,0,2,0,0,1,0,1,1,0,0,0,1,1,0,0,0,2,0,0,2,1,2,1,1,2,1,1,1,0,1
SEC-General Scholarship,1,0,2,0,3,2,1,1,1,7,3,3,2,1,0,1,2,0,2,4,1,0,4,2,0,3,0,4,0,0,1
SEC-Foundation,0,0,0,0,0,0,0,0,0,0,0,3,2,5,4,3,3,2,3,3,3,5,10,3,7,8,3,5,2,2,3
SEC-Diploma & Foundation,5,7,8,3,5,6,3,6,9,7,8,3,1,7,10,6,2,9,7,9,4,9,10,11,6,3,2,9,10,2,6
SEC-MARA Scholarship,0,4,3,6,0,2,0,4,6,5,2,3,2,2,1,2,0,4,2,0,1,1,2,2,1,2,2,1,4,2,1
SEC-UEC,5,3,1,1,3,1,2,2,0,2,0,4,0,4,4,3,6,2,1,7,2,3,2,1,5,1,3,2,4,3,3
SEC-Open Day/Enrolment Day/Info Day,0,0,0,3,3,3,2,2,1,3,2,4,1,0,2,3,4,4,3,5,5,7,2,3,5,1,2,3,0,0,2
