program,May1st,May2nd,May3rd,May4th,May5th,May6th,May7th,May8th,May9th,May10th,May11th,May12th,May13th,May14th,May15th,May16th,May17th,May18th,May19th,May20th,May21st,May22nd,May23th,May24th,May25th,May26th,May27th,May28th,May29th,May30th,May31st
Actuarial Science (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Actuarial Science (UG),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
Applied Sciences (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Applied Sciences (UG),2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Architecture (UG),2,2,1,3,0,1,1,3,3,3,2,2,2,1,4,7,4,1,3,0,2,2,5,2,4,0,3,1,1,3,1
Business (PG),0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,4,1,0,0,1,1,0,2,0,0,1,1,1,0,1,1
Business (UG),1,3,0,10,6,3,0,1,3,0,5,7,2,0,0,9,0,2,1,0,1,0,6,0,3,2,4,1,0,4,1
Engineering (PG),0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Engineering (UG),0,0,2,2,0,1,0,0,4,0,1,0,1,1,2,1,0,0,1,0,1,1,1,1,1,1,2,1,2,1,1
FMHS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG) - Nursing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOSSLA (PG),1,0,2,1,2,0,4,2,1,2,2,1,0,1,2,2,0,1,1,1,1,1,3,1,4,2,1,0,4,1,0
FOSSLA (UG),6,4,1,1,0,1,1,4,3,5,3,2,1,0,0,5,3,4,0,4,0,5,2,0,2,5,0,0,1,0,3
Foundation in Arts,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,4,0,0,1,0,1,0,1,0,0,1,0,0,2,0,0
Foundation in Science,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FPS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPS (UG),4,1,0,2,2,3,4,5,3,3,7,5,2,4,5,0,10,4,3,2,3,2,7,6,5,3,3,7,3,5,6
GBS (PG),2,3,1,2,1,3,2,5,2,3,2,0,1,3,0,1,2,3,1,1,3,1,0,0,1,0,3,1,1,1,2
Hospitality (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospitality (UG),2,0,4,1,0,0,1,2,4,3,1,4,2,2,3,6,1,1,4,2,2,1,2,3,2,4,4,0,5,2,2
IASDA (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IASDA (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (UG),0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
IMUS (PG),1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
IMUS (UG),2,0,0,1,0,2,0,1,0,1,0,1,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,2
IT (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Master & PhD Programme,1,2,1,0,0,0,0,0,3,1,0,0,0,0,1,0,0,2,2,3,1,0,2,1,0,1,0,0,1,0,1
SEC-General Scholarship,0,2,0,0,2,0,0,0,1,1,0,2,0,0,0,0,2,1,2,2,1,2,0,1,1,1,0,0,1,1,3
SEC-Foundation,5,18,11,10,8,5,8,15,14,12,16,14,15,9,12,18,8,13,5,4,10,23,16,8,16,7,4,6,12,10,17
SEC-Diploma & Foundation,25,22,22,21,19,19,25,25,43,37,33,16,18,19,31,31,27,34,26,26,25,32,22,27,33,19,13,21,34,24,22
SEC-UEC,7,7,10,4,9,3,7,12,21,19,17,12,7,7,9,8,11,6,10,7,5,7,6,9,5,10,5,6,8,12,8
SEC-Open Day/Enrolment Day/Info Day,9,4,2,3,4,2,1,0,1,3,2,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
