program,June1st,June2nd,June3rd,June4th,June5th,June6th,June7th,June8th,June9th,June10th,June11th,June12th,June13th,June14th,June15th,June16th,June17th,June18th,June19th,June20th,June21st,June22nd,June23th,June24th,June25th,June26th,June27th,June28th,June29th,June30th
Actuarial Science (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actuarial Science (UG),0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (UG),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (PG),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (UG),1,6,7,3,2,4,7,5,6,2,9,6,8,13,13,10,7,2,6,10,3,4,4,8,2,5,1,0,3,1
Business (PG),0,1,1,1,1,1,0,1,2,4,4,2,3,1,0,3,4,1,3,4,1,0,3,1,3,0,2,1,0,1
Business (UG),8,4,1,0,1,3,3,7,13,9,2,1,4,0,4,4,5,0,0,1,0,0,0,0,1,1,0,0,0,0
Engineering (PG),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engineering (UG),3,2,0,1,2,3,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG) - Nursing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOSSLA (PG),0,1,0,2,0,1,0,4,2,2,3,0,2,2,0,0,2,2,0,1,1,0,0,0,0,0,1,0,1,0
FOSSLA (UG),1,3,0,2,1,0,4,10,17,21,15,19,14,10,10,5,7,10,1,2,14,5,1,7,9,10,2,2,6,4
Foundation in Arts,1,0,0,0,1,1,0,3,7,1,1,0,2,0,2,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0
Foundation in Science,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FPS (PG),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPS (UG),4,5,4,5,3,7,3,12,24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBS (PG),1,0,1,3,7,6,3,11,9,5,6,5,1,2,1,4,1,4,3,2,5,0,3,0,3,1,2,0,0,1
Hospitality (PG),0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospitality (UG),5,4,1,0,0,1,5,9,12,13,10,8,9,8,3,8,2,4,4,1,6,2,2,5,0,1,3,1,1,1
IASDA (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IASDA (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (PG),1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
IMUS (UG),0,1,1,0,1,2,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
IT (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Master & PhD Programme,1,2,0,0,0,1,2,1,3,1,3,1,2,0,2,0,0,3,2,0,3,1,0,1,0,0,0,0,1,0
SEC-General Scholarship,6,7,6,8,3,2,9,10,35,14,27,20,17,23,14,24,16,8,11,22,18,16,10,6,12,13,8,3,2,2
SEC-Foundation,9,10,6,8,7,19,9,44,41,42,43,44,46,29,33,25,20,13,29,32,25,20,18,17,8,15,15,27,16,12
SEC-Diploma & Foundation,30,26,33,20,26,33,26,55,56,48,54,58,69,68,55,41,42,34,55,61,41,39,34,20,30,31,44,33,22,15
SEC-UEC,13,12,3,11,14,13,8,25,27,26,23,31,44,23,29,26,20,17,24,28,16,15,18,8,8,3,8,15,7,4
SEC-Open Day/Enrolment Day/Info Day,0,0,0,0,0,2,3,6,27,35,35,20,28,23,21,20,14,11,12,9,1,2,2,2,2,5,8,8,11,5
