program,August1st,August2nd,August3rd,August4th,August5th,August6th,August7th,August8th,August9th,August10th,August11th,August12th,August13th,August14th,August15th,August16th,August17th,August18th,August19th,August20th,August21st,August22nd,August23th,August24th,August25th,August26th,August27th,August28th,August29th,August30th,August31st
Actuarial Science (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actuarial Science (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (PG),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Architecture (UG),5,3,1,1,1,2,2,2,2,1,1,2,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
Business (PG),2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business (UG),7,1,0,0,0,0,0,4,0,0,1,4,0,0,4,0,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0
Engineering (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Engineering (UG),0,3,0,2,1,0,3,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
FMHS (PG),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG) - Nursing,4,2,2,0,1,0,3,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOSSLA (PG),0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
FOSSLA (UG),6,4,1,1,0,2,0,1,1,2,6,3,6,0,1,0,3,1,4,1,0,1,3,1,2,0,2,0,0,1,3
Foundation in Arts,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Foundation in Science,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPS (UG),3,4,1,4,1,4,3,0,0,2,1,3,3,4,0,2,1,0,1,4,0,2,4,1,0,3,0,3,2,1,0
GBS (PG),1,2,2,0,0,1,1,0,2,0,1,1,3,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Hospitality (PG),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospitality (UG),2,1,0,0,0,1,1,3,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1
IASDA (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IASDA (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (PG),0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IMUS (UG),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
IT (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Master & PhD Programme,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
SEC-General Scholarship,1,3,0,1,4,2,2,1,4,1,2,4,0,4,0,2,5,1,0,1,3,2,1,2,1,1,0,1,3,1,2
SEC-Foundation,3,3,5,4,5,4,9,8,9,3,4,6,9,4,4,11,9,10,3,7,8,8,9,2,3,9,4,3,2,7,4
SEC-Diploma & Foundation,10,5,17,15,15,5,11,15,8,10,11,7,7,17,9,14,16,9,9,12,15,15,10,14,8,10,11,13,7,5,9
SEC-MARA Scholarship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,4,2,1,4,5,7,3,2,1,1,1,1,6,2
SEC-UEC,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
SEC-Open Day/Enrolment Day/Info Day,0,0,3,2,0,4,1,1,1,2,2,3,2,0,1,1,5,3,1,3,1,2,4,4,3,1,0,0,3,9,2
