program,July1st,July2nd,July3rd,July4th,July5th,July6th,July7th,July8th,July9th,July10th,July11th,July12th,July13th,July14th,July15th,July16th,July17th,July18th,July19th,July20th,July21st,July22nd,July23th,July24th,July25th,July26th,July27th,July28th,July29th,July30th,July31st
Actuarial Science (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actuarial Science (UG),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (UG),0,0,0,0,0,2,5,5,2,6,4,1,6,3,5,6,5,4,4,1,3,2,3,6,3,3,3,0,1,1,2
Business (PG),0,0,0,0,0,0,1,2,0,0,1,5,0,0,3,3,2,1,0,0,7,5,0,0,6,1,0,5,4,3,2
Business (UG),0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,2,0,1,2,0,0,0
Engineering (PG),0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Engineering (UG),0,0,0,0,0,4,1,5,2,3,1,3,1,0,1,1,0,2,4,2,3,1,0,2,4,0,1,0,2,0,0
FMHS (PG),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1
FMHS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG) - Nursing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,2,2,3,3,4,3,0,2,2
FOSSLA (PG),0,0,0,0,0,0,1,4,0,0,0,2,0,1,1,2,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
FOSSLA (UG),0,0,0,0,0,5,11,3,6,4,7,4,4,1,4,2,4,4,2,5,1,1,1,3,2,2,1,0,2,1,4
Foundation in Arts,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0
Foundation in Science,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
FPS (PG),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FPS (UG),0,0,0,0,0,5,5,7,3,11,5,5,4,5,3,7,8,4,3,4,2,3,3,11,3,5,1,1,1,4,9
GBS (PG),0,0,0,0,0,1,2,1,0,0,0,0,1,1,0,1,0,0,1,1,1,2,0,2,1,3,1,0,0,1,2
Hospitality (PG),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospitality (UG),0,0,0,0,0,1,3,1,2,3,4,5,2,6,2,1,4,2,2,3,2,3,3,2,1,1,1,0,0,0,0
IASDA (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IASDA (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (UG),0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IT (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Master & PhD Programme,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,3,2,0,0,0
SEC-General Scholarship,0,0,0,0,0,1,4,3,5,15,8,5,5,7,2,5,6,6,5,3,5,3,0,5,6,4,8,0,0,1,4
SEC-Foundation,1,0,1,0,0,2,18,13,12,10,9,8,6,3,2,10,15,16,3,7,10,4,6,13,5,7,9,10,4,6,6
SEC-Diploma & Foundation,0,0,0,0,0,3,34,19,7,10,18,47,18,22,13,10,15,19,17,14,14,13,7,17,23,11,12,9,9,8,5
SEC-UEC,0,0,0,0,0,6,14,9,3,2,1,0,0,0,1,0,3,13,5,10,4,0,5,3,11,5,6,3,1,2,0
SEC-Open Day/Enrolment Day/Info Day,4,4,8,7,9,3,13,11,8,6,5,3,7,9,8,3,1,6,6,7,3,8,4,7,4,0,3,2,3,1,0
