program,October1st,October2nd,October3rd,October4th,October5th,October6th,October7th,October8th,October9th,October10th,October11th,October12th,October13th,October14th,October15th,October16th,October17th,October18th,October19th,October20th,October21st,October22nd,October23th,October24th,October25th,October26th,October27th,October28th,October29th,October30th,October31st
Actuarial Science (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actuarial Science (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (PG),0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (UG),0,1,0,1,1,1,0,0,0,0,0,0,0,2,0,1,0,1,0,1,1,1,2,0,0,0,0,0,0,1,0
Business (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business (UG),0,2,1,0,9,7,5,0,0,4,0,4,2,6,0,0,6,0,7,7,6,0,0,6,0,0,7,6,0,0,6
Engineering (PG),2,1,4,6,1,3,3,4,6,2,2,5,4,1,3,4,1,0,3,3,1,1,5,2,0,1,4,2,1,1,3
Engineering (UG),15,13,14,20,17,10,16,13,15,14,17,15,13,12,6,9,14,9,9,7,9,9,12,17,13,10,6,13,9,13,8
FMHS (PG),0,0,1,1,0,1,0,0,2,2,0,0,0,2,1,0,1,0,0,2,1,0,0,1,0,0,0,0,1,0,3
FMHS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG) - Nursing,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOSSLA (PG),0,0,0,3,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
FOSSLA (UG),1,2,2,2,3,3,2,2,1,5,0,2,2,4,1,6,1,3,1,0,8,6,20,39,12,4,5,5,13,23,13
Foundation in Arts,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foundation in Science,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
FPS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPS (UG),0,1,3,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,2,0,1,0,1,0,0,0,2,0,1
GBS (PG),0,1,1,1,1,3,4,1,2,4,3,6,11,1,4,5,4,3,3,4,3,3,4,4,0,4,2,2,4,5,1
Hospitality (PG),0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospitality (UG),0,2,0,1,0,1,0,0,3,0,0,1,0,0,2,3,2,0,2,1,0,2,2,0,1,3,3,0,1,0,0
IASDA (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IASDA (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Master & PhD Programme,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0
SEC-General Scholarship,1,0,1,0,1,2,0,3,2,1,1,0,2,0,0,2,0,0,0,2,1,2,1,3,2,2,0,1,0,1,1
SEC-Foundation,2,4,0,2,1,4,0,1,3,1,1,1,1,0,1,2,2,1,0,2,1,1,5,1,2,0,2,1,3,0,1
SEC-Diploma & Foundation,6,3,7,8,3,8,5,6,7,6,6,11,8,7,6,10,7,9,5,4,3,7,4,7,4,3,1,5,4,6,4
SEC-MARA Scholarship,2,4,6,4,2,2,0,7,2,2,1,3,2,2,0,4,7,4,1,3,3,3,0,1,1,5,6,4,1,1,3
SEC-Open Day/Enrolment Day/Info Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,9,4
