program,September1st,September2nd,September3rd,September4th,September5th,September6th,September7th,September8th,September9th,September10th,September11th,September12th,September13th,September14th,September15th,September16th,September17th,September18th,September19th,September20th,September21st,September22nd,September23th,September24th,September25th,September26th,September27th,September28th,September29th,September30th
Actuarial Science (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actuarial Science (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Architecture (UG),0,0,0,0,1,0,1,4,0,1,0,1,0,0,0,1,0,2,2,1,0,3,1,0,1,0,2,0,0,0
Business (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Business (UG),0,4,0,0,3,0,0,1,1,0,0,2,0,3,0,2,0,0,2,0,3,3,4,0,0,3,0,4,3,6
Engineering (PG),1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2,2,4,2,3,7,2,2,5
Engineering (UG),0,0,0,1,1,0,1,1,2,0,2,1,1,3,1,3,1,9,3,13,13,13,12,12,8,10,18,11,14,12
FMHS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,0,2,0,0
FMHS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG) - Nursing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOSSLA (PG),2,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FOSSLA (UG),0,1,2,1,1,0,0,0,2,1,4,0,0,4,4,0,2,1,4,1,5,2,2,0,5,0,2,5,2,1
Foundation in Arts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Foundation in Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FPS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,1,0,1,1
GBS (PG),0,0,0,0,0,1,0,0,0,0,1,2,2,1,1,0,1,2,0,2,0,3,1,1,0,0,4,3,2,1
Hospitality (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospitality (UG),0,2,3,3,0,0,1,2,1,0,2,2,1,1,1,3,1,2,2,2,0,2,0,1,1,0,0,2,0,0
IASDA (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IASDA (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (PG),0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IT (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Master & PhD Programme,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
SEC-General Scholarship,1,3,1,0,2,0,2,3,0,1,3,4,1,1,2,0,0,0,0,1,2,0,0,1,3,1,2,1,0,1
SEC-Foundation,1,5,6,5,2,8,4,6,2,4,1,1,2,1,2,2,4,4,1,1,2,2,1,1,3,3,5,3,2,3
SEC-Diploma & Foundation,10,6,5,14,9,8,13,9,3,5,16,10,3,6,8,2,6,6,3,5,6,10,3,2,6,2,8,1,10,3
SEC-MARA Scholarship,3,2,5,4,6,5,5,3,5,3,9,1,4,7,5,3,4,3,4,11,4,2,11,6,4,4,4,3,3,3
SEC-Open Day/Enrolment Day/Info Day,5,4,3,2,8,6,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
