program,April1st,April2nd,April3rd,April4th,April5th,April6th,April7th,April8th,April9th,April10th,April11th,April12th,April13th,April14th,April15th,April16th,April17th,April18th,April19th,April20th,April21st,April22nd,April23th,April24th,April25th,April26th,April27th,April28th,April29th,April30th
Actuarial Science (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actuarial Science (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Applied Sciences (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
Applied Sciences (UG),1,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,1,3,1,0,0,1,0,0
Architecture (PG),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (UG),0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0
Business (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business (UG),2,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0
Engineering (PG),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Engineering (UG),1,0,2,0,0,2,0,2,1,1,1,1,1,0,1,0,1,0,4,1,1,1,1,1,1,1,1,0,0,2
FMHS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG) - Nursing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOSSLA (PG),1,0,0,0,0,1,0,0,1,0,1,0,2,0,0,2,0,0,0,1,1,1,0,1,0,0,0,0,0,0
FOSSLA (UG),0,0,1,1,0,1,0,1,1,0,0,1,2,1,0,1,1,0,1,4,1,2,0,1,0,0,0,0,1,0
Foundation in Arts,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Foundation in Science,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FPS (PG),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FPS (UG),0,0,0,2,0,0,0,1,0,0,1,0,1,3,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1
GBS (PG),0,0,2,0,1,2,0,0,0,0,0,0,0,1,1,0,3,2,1,1,0,1,0,0,2,1,0,1,1,1
Hospitality (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospitality (UG),0,0,1,1,3,2,0,0,0,0,1,1,0,0,2,0,0,2,1,2,0,0,0,1,0,0,1,0,0,1
IASDA (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IASDA (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (PG),0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (UG),3,2,1,1,1,1,0,1,0,1,0,1,1,0,0,2,0,2,0,1,1,1,1,1,0,0,0,0,1,1
IMUS (PG),0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (UG),0,0,0,1,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
IT (PG),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IT (UG),1,1,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
SEC-General Scholarship,0,0,0,0,0,1,2,1,1,3,0,0,1,2,2,2,2,3,0,2,2,2,0,0,1,2,0,3,2,1
SEC-Foundation,3,3,4,10,5,5,4,7,4,1,1,4,3,2,4,4,4,4,1,3,3,3,2,2,6,3,6,2,2,2
SEC-Diploma & Foundation,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SEC-UEC,2,1,1,0,5,1,0,3,2,6,1,0,3,2,2,2,1,1,2,1,3,3,2,3,3,0,5,1,4,1
SEC-Open Day/Enrolment Day/Info Day,0,0,1,2,1,3,2,0,5,3,1,2,1,6,4,1,4,1,2,2,1,0,0,1,0,1,4,2,0,0
