program,May1st,May2nd,May3rd,May4th,May5th,May6th,May7th,May8th,May9th,May10th,May11th,May12th,May13th,May14th,May15th,May16th,May17th,May18th,May19th,May20th,May21st,May22nd,May23th,May24th,May25th,May26th,May27th,May28th,May29th,May30th,May31st
Actuarial Science (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actuarial Science (UG),0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,1,2,1,0,1,0,0,0,0,1,0,1,0,2,0
Applied Sciences (PG),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Applied Sciences (UG),1,0,0,0,0,0,1,0,2,0,1,2,2,1,1,1,0,2,1,0,1,1,0,2,0,0,1,0,1,2,0
Architecture (PG),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Architecture (UG),0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Business (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1
Business (UG),0,1,0,1,1,1,0,1,2,1,1,2,0,0,0,1,1,0,0,0,2,2,1,0,1,0,0,1,1,1,1
Engineering (PG),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engineering (UG),0,0,0,1,0,0,2,1,2,2,2,2,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0
FMHS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG) - Nursing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOSSLA (PG),1,0,0,0,0,0,0,0,1,1,2,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0
FOSSLA (UG),0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,2,0,1,1,0,0,0,0,2,3
Foundation in Arts,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foundation in Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPS (PG),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FPS (UG),0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0
GBS (PG),1,0,1,0,0,0,1,0,0,0,0,1,2,0,2,1,0,2,1,0,0,0,2,1,1,1,0,0,0,2,0
Hospitality (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0
Hospitality (UG),0,0,0,0,1,0,0,4,0,0,4,1,1,3,1,1,2,1,1,1,0,0,0,1,2,1,0,1,1,2,1
IASDA (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IASDA (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (PG),1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (UG),0,0,0,1,0,0,1,0,1,0,1,1,1,1,3,1,1,2,1,0,0,0,1,1,0,1,1,4,0,1,1
IMUS (PG),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (UG),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
IT (PG),0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
IT (UG),0,0,0,2,0,0,0,1,0,1,0,1,3,1,1,0,1,1,2,0,1,0,4,0,1,0,0,0,0,0,0
SEC-General Scholarship,0,0,0,1,0,2,3,1,3,2,2,3,3,2,1,4,3,1,1,6,3,2,2,2,4,6,3,0,0,1,2
SEC-Foundation,6,3,2,2,4,2,3,3,4,3,6,6,6,3,3,1,4,2,3,2,2,2,3,5,6,3,3,7,5,5,4
SEC-Diploma & Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SEC-UEC,0,1,4,1,2,0,0,0,3,2,4,3,2,1,0,3,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
SEC-Open Day/Enrolment Day/Info Day,5,0,1,2,0,1,0,1,2,2,0,0,1,0,0,3,1,5,2,0,1,0,0,0,0,0,0,0,0,0,0
