program,June1st,June2nd,June3rd,June4th,June5th,June6th,June7th,June8th,June9th,June10th,June11th,June12th,June13th,June14th,June15th,June16th,June17th,June18th,June19th,June20th,June21st,June22nd,June23th,June24th,June25th,June26th,June27th,June28th,June29th,June30th
Actuarial Science (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actuarial Science (UG),1,0,1,1,1,2,2,0,0,0,0,0,2,1,2,1,2,1,1,0,2,1,1,1,1,4,1,1,0,0
Applied Sciences (PG),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Applied Sciences (UG),1,1,0,2,0,1,1,0,1,0,1,0,1,1,0,1,1,0,2,1,1,3,0,2,2,0,1,0,1,2
Architecture (PG),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Architecture (UG),1,0,0,1,0,0,0,0,0,2,0,1,0,2,3,5,3,1,1,3,0,2,2,1,1,0,3,0,1,2
Business (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
Business (UG),1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,2,1,1,2,1,0,0,0,1,3,1,0
Engineering (PG),0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,1,0,0,1,1,0,0
Engineering (UG),2,0,2,0,1,1,2,3,1,2,0,1,0,3,2,6,6,3,2,5,3,4,2,2,1,4,4,4,4,5
FMHS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG) - Nursing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOSSLA (PG),1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,2,1,1,2,0,1,0,0,0,0,1,1,0,1
FOSSLA (UG),1,1,4,2,1,0,0,2,2,1,1,2,3,1,2,1,3,2,3,5,3,4,2,2,1,2,2,3,1,1
Foundation in Arts,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0
Foundation in Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,2,1,0,1,0,2,1,0
FPS (PG),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0
FPS (UG),0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6,2,4,2,4,2,1,3,2,1,0,0,1,3,1
GBS (PG),2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,1,2,0,0,1,1,0,0,1,2,0,0
Hospitality (PG),0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0
Hospitality (UG),0,2,0,2,0,0,3,1,2,1,0,2,0,0,2,8,7,6,7,2,6,0,0,2,1,2,5,3,6,3
IASDA (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IASDA (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,1,0,0,0,0,0,0,0
ICAD (UG),0,1,1,2,0,0,0,1,3,0,2,2,2,0,1,0,3,2,2,2,1,1,3,1,4,3,4,1,1,1
IMUS (PG),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IMUS (UG),0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,2,2,0,0,1,2,0,0,1,0,0,1,0
IT (PG),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,1,0,1,0,0,0,0,0,0,0
IT (UG),0,0,1,0,1,1,1,0,2,0,0,0,0,1,1,3,3,2,1,3,2,1,0,1,0,1,4,2,5,4
SEC-General Scholarship,1,1,2,0,5,3,6,2,2,5,5,6,3,5,3,9,11,7,12,17,12,9,6,3,9,10,7,9,4,10
SEC-Foundation,7,5,4,2,7,3,10,7,2,10,6,2,7,4,6,18,23,20,17,22,13,19,13,8,10,10,16,8,14,8
SEC-Diploma & Foundation,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0
SEC-UEC,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SEC-Open Day/Enrolment Day/Info Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,0,0
